Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths,Population
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,Under 5 years,0.0,123.0,566442.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,5-14 years,0.0,215.0,1196689.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,15-24 years,22.0,1275.0,1326325.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,25-34 years,94.0,2828.0,1311614.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,35-44 years,208.0,3984.0,1166172.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,45-54 years,680.0,7857.0,1254679.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,55-64 years,1787.0,19032.0,1399535.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,65-74 years,3641.0,30194.0,1037580.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,75-84 years,4534.0,36005.0,514685.0
1/1/20,4/24/21,By Total,0.0,0.0,Michigan,85 years and over,4928.0,44824.0,213136.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,Under 5 years,0.0,80.0,351622.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,5-14 years,0.0,103.0,732593.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,15-24 years,0.0,574.0,717060.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,25-34 years,24.0,1170.0,762616.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,35-44 years,62.0,1594.0,725577.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,45-54 years,193.0,2903.0,673361.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,55-64 years,513.0,7194.0,756421.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,65-74 years,1189.0,11824.0,531059.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,75-84 years,2028.0,16339.0,266713.0
1/1/20,4/24/21,By Total,0.0,0.0,Minnesota,85 years and over,3237.0,23793.0,122610.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,Under 5 years,0.0,60.0,183478.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,5-14 years,0.0,113.0,395659.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,15-24 years,16.0,603.0,402867.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,25-34 years,63.0,1155.0,393747.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,35-44 years,152.0,1872.0,365754.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,45-54 years,408.0,3374.0,362040.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,55-64 years,1043.0,7950.0,385911.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,65-74 years,1885.0,11593.0,288955.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,75-84 years,2054.0,12441.0,145440.0
1/1/20,4/24/21,By Total,0.0,0.0,Mississippi,85 years and over,1666.0,11623.0,52298.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,Under 5 years,0.0,124.0,368080.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,5-14 years,0.0,174.0,769540.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,15-24 years,13.0,1092.0,794469.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,25-34 years,35.0,2128.0,825887.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,35-44 years,118.0,2909.0,753739.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,45-54 years,310.0,5063.0,732944.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,55-64 years,1086.0,12996.0,830732.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,65-74 years,2251.0,20064.0,610165.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,75-84 years,3064.0,24134.0,318341.0
1/1/20,4/24/21,By Total,0.0,0.0,Missouri,85 years and over,3735.0,27687.0,133531.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,Under 5 years,0.0,16.0,61156.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,5-14 years,0.0,33.0,129305.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,15-24 years,0.0,183.0,135891.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,25-34 years,0.0,302.0,138386.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,35-44 years,26.0,420.0,129795.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,45-54 years,57.0,749.0,117800.0
